STARTING TO TRAIN [pddd=False,frozen=False,pretrained=True]
 Epoch [1/30], Train Loss: 2.0899, Train Accuracy: 7.51%, Val Loss: 2.0788, Val Accuracy: 10.54%, Epoch Duration: 4325.21 seconds
Epoch [2/30], Train Loss: 2.0825, Train Accuracy: 7.41%, Val Loss: 2.0731, Val Accuracy: 10.44%, Epoch Duration: 4321.10 seconds
Epoch [3/30], Train Loss: 2.0768, Train Accuracy: 8.36%, Val Loss: 2.0680, Val Accuracy: 14.38%, Epoch Duration: 4312.01 seconds
Epoch [4/30], Train Loss: 2.0713, Train Accuracy: 10.46%, Val Loss: 2.0633, Val Accuracy: 16.40%, Epoch Duration: 4315.90 seconds
Epoch [5/30], Train Loss: 2.0670, Train Accuracy: 11.20%, Val Loss: 2.0592, Val Accuracy: 16.61%, Epoch Duration: 4320.72 seconds
Epoch [6/30], Train Loss: 2.0627, Train Accuracy: 11.25%, Val Loss: 2.0549, Val Accuracy: 16.72%, Epoch Duration: 4320.60 seconds
Epoch [7/30], Train Loss: 2.0590, Train Accuracy: 10.62%, Val Loss: 2.0512, Val Accuracy: 16.72%, Epoch Duration: 4321.03 seconds
Epoch [8/30], Train Loss: 2.0558, Train Accuracy: 11.52%, Val Loss: 2.0475, Val Accuracy: 16.72%, Epoch Duration: 4327.78 seconds
Epoch [9/30], Train Loss: 2.0525, Train Accuracy: 11.74%, Val Loss: 2.0442, Val Accuracy: 16.93%, Epoch Duration: 4563.87 seconds
Epoch [10/30], Train Loss: 2.0494, Train Accuracy: 11.33%, Val Loss: 2.0414, Val Accuracy: 16.83%, Epoch Duration: 4388.93 seconds
Epoch [11/30], Train Loss: 2.0463, Train Accuracy: 11.18%, Val Loss: 2.0389, Val Accuracy: 17.04%, Epoch Duration: 4396.28 seconds
Epoch [12/30], Train Loss: 2.0440, Train Accuracy: 11.97%, Val Loss: 2.0365, Val Accuracy: 17.57%, Epoch Duration: 4393.94 seconds
Epoch [13/30], Train Loss: 2.0415, Train Accuracy: 11.45%, Val Loss: 2.0339, Val Accuracy: 17.47%, Epoch Duration: 4392.06 seconds
Epoch [14/30], Train Loss: 2.0396, Train Accuracy: 11.54%, Val Loss: 2.0317, Val Accuracy: 18.42%, Epoch Duration: 4389.43 seconds
Epoch [15/30], Train Loss: 2.0379, Train Accuracy: 11.35%, Val Loss: 2.0311, Val Accuracy: 17.89%, Epoch Duration: 4400.96 seconds
Epoch [16/30], Train Loss: 2.0371, Train Accuracy: 11.27%, Val Loss: 2.0273, Val Accuracy: 18.85%, Epoch Duration: 4390.37 seconds
Epoch [17/30], Train Loss: 2.0343, Train Accuracy: 12.05%, Val Loss: 2.0251, Val Accuracy: 19.60%, Epoch Duration: 4399.68 seconds
Epoch [18/30], Train Loss: 2.0319, Train Accuracy: 11.33%, Val Loss: 2.0222, Val Accuracy: 20.23%, Epoch Duration: 4390.38 seconds
Epoch [19/30], Train Loss: 2.0311, Train Accuracy: 12.13%, Val Loss: 2.0215, Val Accuracy: 20.98%, Epoch Duration: 4548.60 seconds
Epoch [20/30], Train Loss: 2.0302, Train Accuracy: 11.77%, Val Loss: 2.0201, Val Accuracy: 20.55%, Epoch Duration: 4407.91 seconds
Epoch [21/30], Train Loss: 2.0298, Train Accuracy: 11.89%, Val Loss: 2.0186, Val Accuracy: 20.87%, Epoch Duration: 4407.60 seconds
Epoch [22/30], Train Loss: 2.0276, Train Accuracy: 11.93%, Val Loss: 2.0182, Val Accuracy: 21.19%, Epoch Duration: 4398.96 seconds
Epoch [23/30], Train Loss: 2.0266, Train Accuracy: 11.96%, Val Loss: 2.0159, Val Accuracy: 21.19%, Epoch Duration: 4408.09 seconds
Epoch [24/30], Train Loss: 2.0272, Train Accuracy: 12.34%, Val Loss: 2.0156, Val Accuracy: 20.45%, Epoch Duration: 4393.84 seconds
Epoch [25/30], Train Loss: 2.0256, Train Accuracy: 11.88%, Val Loss: 2.0152, Val Accuracy: 21.19%, Epoch Duration: 4397.44 seconds
Epoch [26/30], Train Loss: 2.0234, Train Accuracy: 12.17%, Val Loss: 2.0155, Val Accuracy: 20.87%, Epoch Duration: 4410.72 seconds
Epoch [27/30], Train Loss: 2.0245, Train Accuracy: 12.07%, Val Loss: 2.0151, Val Accuracy: 21.30%, Epoch Duration: 4419.68 seconds
Epoch [28/30], Train Loss: 2.0201, Train Accuracy: 12.82%, Val Loss: 2.0123, Val Accuracy: 21.09%, Epoch Duration: 4416.82 seconds
Epoch [29/30], Train Loss: 2.0215, Train Accuracy: 12.58%, Val Loss: 2.0115, Val Accuracy: 21.41%, Epoch Duration: 4764.17 seconds
Epoch [30/30], Train Loss: 2.0170, Train Accuracy: 13.90%, Val Loss: 2.0107, Val Accuracy: 21.51%, Epoch Duration: 4450.71 seconds
TRAINING ENDED 
