STARTING TO TRAIN [pddd=False,frozen=False,pretrained=False]
 Epoch [1/100], Train Loss: 2.0793, Train Accuracy: 14.30%, Val Loss: 2.0709, Val Accuracy: 17.95%, Epoch Duration: 834.26 seconds
Epoch [2/100], Train Loss: 2.0648, Train Accuracy: 17.22%, Val Loss: 2.0585, Val Accuracy: 19.87%, Epoch Duration: 837.58 seconds
Epoch [3/100], Train Loss: 2.0536, Train Accuracy: 17.86%, Val Loss: 2.0470, Val Accuracy: 21.37%, Epoch Duration: 836.64 seconds
Epoch [4/100], Train Loss: 2.0443, Train Accuracy: 17.71%, Val Loss: 2.0392, Val Accuracy: 21.79%, Epoch Duration: 842.36 seconds
Epoch [5/100], Train Loss: 2.0351, Train Accuracy: 18.14%, Val Loss: 2.0300, Val Accuracy: 20.94%, Epoch Duration: 835.36 seconds
Epoch [6/100], Train Loss: 2.0291, Train Accuracy: 17.90%, Val Loss: 2.0197, Val Accuracy: 22.86%, Epoch Duration: 839.51 seconds
Epoch [7/100], Train Loss: 2.0203, Train Accuracy: 20.30%, Val Loss: 2.0139, Val Accuracy: 22.22%, Epoch Duration: 835.24 seconds
Epoch [8/100], Train Loss: 2.0129, Train Accuracy: 19.00%, Val Loss: 2.0064, Val Accuracy: 24.15%, Epoch Duration: 839.56 seconds
Epoch [9/100], Train Loss: 2.0061, Train Accuracy: 19.30%, Val Loss: 1.9968, Val Accuracy: 24.79%, Epoch Duration: 832.79 seconds
Epoch [10/100], Train Loss: 2.0036, Train Accuracy: 19.28%, Val Loss: 1.9924, Val Accuracy: 25.21%, Epoch Duration: 839.97 seconds
Epoch [11/100], Train Loss: 1.9985, Train Accuracy: 20.32%, Val Loss: 1.9882, Val Accuracy: 24.79%, Epoch Duration: 834.17 seconds
Epoch [12/100], Train Loss: 1.9949, Train Accuracy: 19.56%, Val Loss: 1.9792, Val Accuracy: 26.07%, Epoch Duration: 834.32 seconds
Epoch [13/100], Train Loss: 1.9904, Train Accuracy: 21.31%, Val Loss: 1.9717, Val Accuracy: 27.56%, Epoch Duration: 831.60 seconds
Epoch [14/100], Train Loss: 1.9826, Train Accuracy: 21.89%, Val Loss: 1.9672, Val Accuracy: 28.85%, Epoch Duration: 835.18 seconds
Epoch [15/100], Train Loss: 1.9781, Train Accuracy: 21.23%, Val Loss: 1.9522, Val Accuracy: 28.42%, Epoch Duration: 834.27 seconds
