STARTING TO TRAIN [pddd=False,frozen=False,pretrained=True]
 Epoch [1/100], Train Loss: 2.0740, Train Accuracy: 15.32%, Val Loss: 2.0628, Val Accuracy: 20.30%, Epoch Duration: 856.56 seconds
Epoch [2/100], Train Loss: 2.0494, Train Accuracy: 21.36%, Val Loss: 2.0364, Val Accuracy: 26.92%, Epoch Duration: 842.63 seconds
Epoch [3/100], Train Loss: 2.0260, Train Accuracy: 24.47%, Val Loss: 2.0113, Val Accuracy: 30.77%, Epoch Duration: 843.50 seconds
Epoch [4/100], Train Loss: 2.0013, Train Accuracy: 25.83%, Val Loss: 1.9829, Val Accuracy: 35.68%, Epoch Duration: 849.66 seconds
Epoch [5/100], Train Loss: 1.9736, Train Accuracy: 27.82%, Val Loss: 1.9519, Val Accuracy: 39.74%, Epoch Duration: 845.41 seconds
Epoch [6/100], Train Loss: 1.9439, Train Accuracy: 29.72%, Val Loss: 1.9144, Val Accuracy: 41.24%, Epoch Duration: 844.66 seconds
Epoch [7/100], Train Loss: 1.9077, Train Accuracy: 32.71%, Val Loss: 1.8652, Val Accuracy: 45.51%, Epoch Duration: 842.14 seconds
Epoch [8/100], Train Loss: 1.8661, Train Accuracy: 35.15%, Val Loss: 1.8106, Val Accuracy: 45.73%, Epoch Duration: 841.28 seconds
Epoch [9/100], Train Loss: 1.8124, Train Accuracy: 38.45%, Val Loss: 1.7396, Val Accuracy: 47.01%, Epoch Duration: 838.52 seconds
Epoch [10/100], Train Loss: 1.7545, Train Accuracy: 40.81%, Val Loss: 1.6539, Val Accuracy: 47.01%, Epoch Duration: 844.47 seconds
Epoch [11/100], Train Loss: 1.6781, Train Accuracy: 44.53%, Val Loss: 1.5488, Val Accuracy: 50.85%, Epoch Duration: 843.39 seconds
Epoch [12/100], Train Loss: 1.5878, Train Accuracy: 48.64%, Val Loss: 1.4372, Val Accuracy: 59.19%, Epoch Duration: 839.85 seconds
Epoch [13/100], Train Loss: 1.4956, Train Accuracy: 53.20%, Val Loss: 1.3085, Val Accuracy: 65.38%, Epoch Duration: 840.13 seconds
Epoch [14/100], Train Loss: 1.3960, Train Accuracy: 57.99%, Val Loss: 1.1736, Val Accuracy: 68.59%, Epoch Duration: 839.13 seconds
Epoch [15/100], Train Loss: 1.2961, Train Accuracy: 59.19%, Val Loss: 1.0377, Val Accuracy: 72.44%, Epoch Duration: 840.67 seconds
Epoch [16/100], Train Loss: 1.1834, Train Accuracy: 63.88%, Val Loss: 0.9339, Val Accuracy: 74.79%, Epoch Duration: 840.45 seconds
Epoch [17/100], Train Loss: 1.1262, Train Accuracy: 64.36%, Val Loss: 0.8332, Val Accuracy: 76.71%, Epoch Duration: 845.94 seconds
Epoch [18/100], Train Loss: 1.0427, Train Accuracy: 66.72%, Val Loss: 0.7346, Val Accuracy: 80.13%, Epoch Duration: 839.84 seconds
Epoch [19/100], Train Loss: 0.9662, Train Accuracy: 69.53%, Val Loss: 0.6872, Val Accuracy: 81.41%, Epoch Duration: 840.72 seconds
Epoch [20/100], Train Loss: 0.8906, Train Accuracy: 72.12%, Val Loss: 0.5993, Val Accuracy: 82.26%, Epoch Duration: 837.18 seconds
Epoch [21/100], Train Loss: 0.8298, Train Accuracy: 73.98%, Val Loss: 0.5616, Val Accuracy: 83.33%, Epoch Duration: 843.80 seconds
Epoch [22/100], Train Loss: 0.7925, Train Accuracy: 74.75%, Val Loss: 0.5060, Val Accuracy: 85.26%, Epoch Duration: 839.54 seconds
