STARTING TO TRAIN [pddd=True,frozen=False,pretrained=False]
 Epoch [1/100], Train Loss: 2.0790, Train Accuracy: 14.87%, Val Loss: 2.0670, Val Accuracy: 19.87%, Epoch Duration: 838.17 seconds
Epoch [2/100], Train Loss: 2.0616, Train Accuracy: 20.15%, Val Loss: 2.0480, Val Accuracy: 26.92%, Epoch Duration: 833.80 seconds
Epoch [3/100], Train Loss: 2.0480, Train Accuracy: 23.43%, Val Loss: 2.0307, Val Accuracy: 33.55%, Epoch Duration: 836.21 seconds
Epoch [4/100], Train Loss: 2.0337, Train Accuracy: 24.87%, Val Loss: 2.0118, Val Accuracy: 36.75%, Epoch Duration: 835.95 seconds
Epoch [5/100], Train Loss: 2.0166, Train Accuracy: 27.46%, Val Loss: 1.9921, Val Accuracy: 40.60%, Epoch Duration: 833.71 seconds
Epoch [6/100], Train Loss: 2.0019, Train Accuracy: 28.98%, Val Loss: 1.9663, Val Accuracy: 42.52%, Epoch Duration: 843.73 seconds
Epoch [7/100], Train Loss: 1.9815, Train Accuracy: 30.97%, Val Loss: 1.9382, Val Accuracy: 44.66%, Epoch Duration: 826.94 seconds
Epoch [8/100], Train Loss: 1.9574, Train Accuracy: 32.37%, Val Loss: 1.9052, Val Accuracy: 42.52%, Epoch Duration: 832.51 seconds
Epoch [9/100], Train Loss: 1.9296, Train Accuracy: 33.88%, Val Loss: 1.8581, Val Accuracy: 44.44%, Epoch Duration: 827.27 seconds
Epoch [10/100], Train Loss: 1.9031, Train Accuracy: 34.45%, Val Loss: 1.8187, Val Accuracy: 44.02%, Epoch Duration: 829.63 seconds
Epoch [11/100], Train Loss: 1.8608, Train Accuracy: 35.13%, Val Loss: 1.7593, Val Accuracy: 43.59%, Epoch Duration: 832.69 seconds
Epoch [12/100], Train Loss: 1.8251, Train Accuracy: 36.12%, Val Loss: 1.7069, Val Accuracy: 45.30%, Epoch Duration: 832.14 seconds
