STARTING TO TRAIN [pddd=True,frozen=True,pretrained=False]
 Epoch [1/100], Train Loss: 2.0796, Train Accuracy: 14.64%, Val Loss: 2.0689, Val Accuracy: 19.02%, Epoch Duration: 832.53 seconds
Epoch [2/100], Train Loss: 2.0638, Train Accuracy: 19.39%, Val Loss: 2.0522, Val Accuracy: 25.64%, Epoch Duration: 829.58 seconds
Epoch [3/100], Train Loss: 2.0523, Train Accuracy: 21.36%, Val Loss: 2.0386, Val Accuracy: 27.56%, Epoch Duration: 825.30 seconds
Epoch [4/100], Train Loss: 2.0411, Train Accuracy: 22.33%, Val Loss: 2.0249, Val Accuracy: 31.41%, Epoch Duration: 833.85 seconds
Epoch [5/100], Train Loss: 2.0283, Train Accuracy: 23.54%, Val Loss: 2.0128, Val Accuracy: 34.40%, Epoch Duration: 826.18 seconds
Epoch [6/100], Train Loss: 2.0194, Train Accuracy: 23.94%, Val Loss: 1.9982, Val Accuracy: 38.68%, Epoch Duration: 831.58 seconds
Epoch [7/100], Train Loss: 2.0079, Train Accuracy: 25.59%, Val Loss: 1.9864, Val Accuracy: 41.03%, Epoch Duration: 825.79 seconds
Epoch [8/100], Train Loss: 1.9970, Train Accuracy: 25.42%, Val Loss: 1.9754, Val Accuracy: 41.88%, Epoch Duration: 831.58 seconds
Epoch [9/100], Train Loss: 1.9862, Train Accuracy: 26.36%, Val Loss: 1.9592, Val Accuracy: 43.16%, Epoch Duration: 824.04 seconds
Epoch [10/100], Train Loss: 1.9801, Train Accuracy: 26.91%, Val Loss: 1.9522, Val Accuracy: 42.74%, Epoch Duration: 825.34 seconds
Epoch [11/100], Train Loss: 1.9697, Train Accuracy: 27.86%, Val Loss: 1.9383, Val Accuracy: 41.88%, Epoch Duration: 828.33 seconds
Epoch [12/100], Train Loss: 1.9610, Train Accuracy: 28.58%, Val Loss: 1.9301, Val Accuracy: 42.31%, Epoch Duration: 823.27 seconds
Epoch [13/100], Train Loss: 1.9523, Train Accuracy: 29.43%, Val Loss: 1.9143, Val Accuracy: 42.52%, Epoch Duration: 824.33 seconds
Epoch [14/100], Train Loss: 1.9402, Train Accuracy: 31.21%, Val Loss: 1.9033, Val Accuracy: 43.38%, Epoch Duration: 826.28 seconds
Epoch [15/100], Train Loss: 1.9316, Train Accuracy: 30.25%, Val Loss: 1.8837, Val Accuracy: 44.66%, Epoch Duration: 826.17 seconds
Epoch [16/100], Train Loss: 1.9178, Train Accuracy: 33.22%, Val Loss: 1.8707, Val Accuracy: 44.23%, Epoch Duration: 827.46 seconds
Epoch [17/100], Train Loss: 1.9092, Train Accuracy: 32.69%, Val Loss: 1.8503, Val Accuracy: 44.87%, Epoch Duration: 832.42 seconds
Epoch [18/100], Train Loss: 1.8929, Train Accuracy: 34.49%, Val Loss: 1.8313, Val Accuracy: 46.15%, Epoch Duration: 827.81 seconds
Epoch [19/100], Train Loss: 1.8780, Train Accuracy: 34.87%, Val Loss: 1.8181, Val Accuracy: 44.87%, Epoch Duration: 826.55 seconds
Epoch [20/100], Train Loss: 1.8662, Train Accuracy: 35.68%, Val Loss: 1.7899, Val Accuracy: 45.30%, Epoch Duration: 822.12 seconds
Epoch [21/100], Train Loss: 1.8445, Train Accuracy: 35.78%, Val Loss: 1.7737, Val Accuracy: 44.87%, Epoch Duration: 825.24 seconds
Epoch [22/100], Train Loss: 1.8289, Train Accuracy: 37.67%, Val Loss: 1.7458, Val Accuracy: 46.58%, Epoch Duration: 827.62 seconds
Epoch [23/100], Train Loss: 1.8100, Train Accuracy: 38.26%, Val Loss: 1.7258, Val Accuracy: 46.15%, Epoch Duration: 823.06 seconds
Epoch [24/100], Train Loss: 1.7934, Train Accuracy: 38.90%, Val Loss: 1.7015, Val Accuracy: 45.30%, Epoch Duration: 827.23 seconds
Epoch [25/100], Train Loss: 1.7727, Train Accuracy: 39.60%, Val Loss: 1.6677, Val Accuracy: 47.01%, Epoch Duration: 828.95 seconds
Epoch [26/100], Train Loss: 1.7520, Train Accuracy: 39.66%, Val Loss: 1.6472, Val Accuracy: 47.01%, Epoch Duration: 823.46 seconds
Epoch [27/100], Train Loss: 1.7359, Train Accuracy: 39.89%, Val Loss: 1.6240, Val Accuracy: 46.58%, Epoch Duration: 826.84 seconds
Epoch [28/100], Train Loss: 1.7117, Train Accuracy: 41.27%, Val Loss: 1.5916, Val Accuracy: 47.01%, Epoch Duration: 829.33 seconds
Epoch [29/100], Train Loss: 1.6982, Train Accuracy: 41.19%, Val Loss: 1.5678, Val Accuracy: 47.01%, Epoch Duration: 824.35 seconds
Epoch [30/100], Train Loss: 1.6664, Train Accuracy: 42.12%, Val Loss: 1.5336, Val Accuracy: 47.86%, Epoch Duration: 823.52 seconds
Epoch [31/100], Train Loss: 1.6488, Train Accuracy: 43.62%, Val Loss: 1.5055, Val Accuracy: 47.65%, Epoch Duration: 829.53 seconds
Epoch [32/100], Train Loss: 1.6299, Train Accuracy: 43.50%, Val Loss: 1.4881, Val Accuracy: 48.93%, Epoch Duration: 830.26 seconds
Epoch [33/100], Train Loss: 1.6123, Train Accuracy: 44.43%, Val Loss: 1.4570, Val Accuracy: 50.00%, Epoch Duration: 820.65 seconds
Epoch [34/100], Train Loss: 1.5860, Train Accuracy: 45.06%, Val Loss: 1.4238, Val Accuracy: 51.07%, Epoch Duration: 829.44 seconds
Epoch [35/100], Train Loss: 1.5627, Train Accuracy: 46.14%, Val Loss: 1.4007, Val Accuracy: 52.78%, Epoch Duration: 824.77 seconds
Epoch [36/100], Train Loss: 1.5329, Train Accuracy: 48.18%, Val Loss: 1.3871, Val Accuracy: 54.06%, Epoch Duration: 821.76 seconds
Epoch [37/100], Train Loss: 1.5169, Train Accuracy: 49.41%, Val Loss: 1.3498, Val Accuracy: 54.91%, Epoch Duration: 823.29 seconds
Epoch [38/100], Train Loss: 1.4983, Train Accuracy: 49.30%, Val Loss: 1.3288, Val Accuracy: 55.98%, Epoch Duration: 827.80 seconds
Epoch [39/100], Train Loss: 1.4845, Train Accuracy: 49.26%, Val Loss: 1.2977, Val Accuracy: 57.05%, Epoch Duration: 822.33 seconds
Epoch [40/100], Train Loss: 1.4565, Train Accuracy: 50.66%, Val Loss: 1.2715, Val Accuracy: 57.91%, Epoch Duration: 826.61 seconds
Epoch [41/100], Train Loss: 1.4478, Train Accuracy: 50.93%, Val Loss: 1.2515, Val Accuracy: 59.40%, Epoch Duration: 828.19 seconds
Epoch [42/100], Train Loss: 1.4250, Train Accuracy: 52.61%, Val Loss: 1.2174, Val Accuracy: 59.83%, Epoch Duration: 822.13 seconds
Epoch [43/100], Train Loss: 1.4043, Train Accuracy: 52.01%, Val Loss: 1.1996, Val Accuracy: 61.32%, Epoch Duration: 833.01 seconds
Epoch [44/100], Train Loss: 1.3879, Train Accuracy: 53.47%, Val Loss: 1.1871, Val Accuracy: 61.75%, Epoch Duration: 825.74 seconds
Epoch [45/100], Train Loss: 1.3709, Train Accuracy: 53.64%, Val Loss: 1.1528, Val Accuracy: 62.82%, Epoch Duration: 829.94 seconds
Epoch [46/100], Train Loss: 1.3637, Train Accuracy: 52.92%, Val Loss: 1.1389, Val Accuracy: 63.25%, Epoch Duration: 827.56 seconds
Epoch [47/100], Train Loss: 1.3381, Train Accuracy: 55.32%, Val Loss: 1.1223, Val Accuracy: 63.03%, Epoch Duration: 830.46 seconds
Epoch [48/100], Train Loss: 1.3229, Train Accuracy: 55.36%, Val Loss: 1.0960, Val Accuracy: 64.10%, Epoch Duration: 827.24 seconds
Epoch [49/100], Train Loss: 1.3035, Train Accuracy: 56.57%, Val Loss: 1.0764, Val Accuracy: 64.10%, Epoch Duration: 835.14 seconds
Epoch [50/100], Train Loss: 1.2907, Train Accuracy: 56.50%, Val Loss: 1.0584, Val Accuracy: 65.60%, Epoch Duration: 826.88 seconds
