STARTING TO TRAIN [pddd=False,frozen=False,pretrained=False]
 Epoch [1/100], Train Loss: 2.0772, Train Accuracy: 14.98%, Val Loss: 2.0731, Val Accuracy: 16.24%, Epoch Duration: 833.99 seconds
Epoch [2/100], Train Loss: 2.0716, Train Accuracy: 16.14%, Val Loss: 2.0623, Val Accuracy: 16.67%, Epoch Duration: 833.11 seconds
Epoch [3/100], Train Loss: 2.0653, Train Accuracy: 16.76%, Val Loss: 2.0501, Val Accuracy: 17.31%, Epoch Duration: 838.89 seconds
Epoch [4/100], Train Loss: 2.0587, Train Accuracy: 17.22%, Val Loss: 2.0529, Val Accuracy: 17.74%, Epoch Duration: 841.31 seconds
Epoch [5/100], Train Loss: 2.0547, Train Accuracy: 17.54%, Val Loss: 2.0536, Val Accuracy: 18.59%, Epoch Duration: 838.97 seconds
Epoch [6/100], Train Loss: 2.0442, Train Accuracy: 18.81%, Val Loss: 2.0656, Val Accuracy: 18.38%, Epoch Duration: 842.91 seconds
Epoch [7/100], Train Loss: 2.0390, Train Accuracy: 18.39%, Val Loss: 2.0543, Val Accuracy: 18.16%, Epoch Duration: 840.60 seconds
Epoch [8/100], Train Loss: 2.0289, Train Accuracy: 19.56%, Val Loss: 2.0585, Val Accuracy: 17.95%, Epoch Duration: 840.71 seconds
Epoch [9/100], Train Loss: 2.0245, Train Accuracy: 20.85%, Val Loss: 2.0654, Val Accuracy: 18.38%, Epoch Duration: 834.66 seconds
Epoch [10/100], Train Loss: 2.0189, Train Accuracy: 20.38%, Val Loss: 2.0588, Val Accuracy: 19.23%, Epoch Duration: 840.47 seconds
Epoch [11/100], Train Loss: 2.0110, Train Accuracy: 20.59%, Val Loss: 2.0432, Val Accuracy: 19.23%, Epoch Duration: 841.53 seconds
Epoch [12/100], Train Loss: 2.0079, Train Accuracy: 21.57%, Val Loss: 2.0457, Val Accuracy: 21.58%, Epoch Duration: 835.70 seconds
Epoch [13/100], Train Loss: 2.0071, Train Accuracy: 21.78%, Val Loss: 2.0322, Val Accuracy: 22.01%, Epoch Duration: 835.26 seconds
Epoch [14/100], Train Loss: 2.0002, Train Accuracy: 21.89%, Val Loss: 2.0251, Val Accuracy: 23.29%, Epoch Duration: 839.51 seconds
Epoch [15/100], Train Loss: 1.9926, Train Accuracy: 22.63%, Val Loss: 2.0138, Val Accuracy: 24.15%, Epoch Duration: 838.18 seconds
Epoch [16/100], Train Loss: 1.9888, Train Accuracy: 23.31%, Val Loss: 2.0263, Val Accuracy: 26.28%, Epoch Duration: 835.18 seconds
Epoch [17/100], Train Loss: 1.9834, Train Accuracy: 23.83%, Val Loss: 2.0102, Val Accuracy: 25.64%, Epoch Duration: 843.43 seconds
Epoch [18/100], Train Loss: 1.9710, Train Accuracy: 24.62%, Val Loss: 1.9999, Val Accuracy: 26.28%, Epoch Duration: 836.49 seconds
Epoch [19/100], Train Loss: 1.9597, Train Accuracy: 25.64%, Val Loss: 1.9845, Val Accuracy: 28.42%, Epoch Duration: 835.07 seconds
Epoch [20/100], Train Loss: 1.9577, Train Accuracy: 25.21%, Val Loss: 1.9708, Val Accuracy: 28.42%, Epoch Duration: 835.06 seconds
Epoch [21/100], Train Loss: 1.9516, Train Accuracy: 25.00%, Val Loss: 1.9484, Val Accuracy: 29.27%, Epoch Duration: 836.49 seconds
Epoch [22/100], Train Loss: 1.9420, Train Accuracy: 27.01%, Val Loss: 1.9219, Val Accuracy: 29.49%, Epoch Duration: 835.22 seconds
Epoch [23/100], Train Loss: 1.9399, Train Accuracy: 26.27%, Val Loss: 1.9184, Val Accuracy: 29.91%, Epoch Duration: 836.22 seconds
Epoch [24/100], Train Loss: 1.9254, Train Accuracy: 27.27%, Val Loss: 1.9003, Val Accuracy: 29.91%, Epoch Duration: 839.25 seconds
Epoch [25/100], Train Loss: 1.9183, Train Accuracy: 26.99%, Val Loss: 1.8866, Val Accuracy: 30.98%, Epoch Duration: 840.75 seconds
Epoch [26/100], Train Loss: 1.9155, Train Accuracy: 27.44%, Val Loss: 1.8844, Val Accuracy: 30.34%, Epoch Duration: 836.88 seconds
Epoch [27/100], Train Loss: 1.9089, Train Accuracy: 28.26%, Val Loss: 1.8745, Val Accuracy: 32.26%, Epoch Duration: 836.68 seconds
Epoch [28/100], Train Loss: 1.9042, Train Accuracy: 28.07%, Val Loss: 1.8544, Val Accuracy: 31.62%, Epoch Duration: 843.88 seconds
Epoch [29/100], Train Loss: 1.9013, Train Accuracy: 28.26%, Val Loss: 1.8383, Val Accuracy: 31.62%, Epoch Duration: 838.55 seconds
Epoch [30/100], Train Loss: 1.8931, Train Accuracy: 29.43%, Val Loss: 1.8421, Val Accuracy: 30.98%, Epoch Duration: 837.11 seconds
Epoch [31/100], Train Loss: 1.8806, Train Accuracy: 28.88%, Val Loss: 1.8460, Val Accuracy: 32.91%, Epoch Duration: 838.22 seconds
Epoch [32/100], Train Loss: 1.8732, Train Accuracy: 30.00%, Val Loss: 1.8068, Val Accuracy: 33.55%, Epoch Duration: 839.54 seconds
Epoch [33/100], Train Loss: 1.8618, Train Accuracy: 30.11%, Val Loss: 1.7955, Val Accuracy: 34.62%, Epoch Duration: 834.72 seconds
Epoch [34/100], Train Loss: 1.8591, Train Accuracy: 30.32%, Val Loss: 1.7903, Val Accuracy: 36.11%, Epoch Duration: 838.43 seconds
Epoch [35/100], Train Loss: 1.8457, Train Accuracy: 31.31%, Val Loss: 1.7691, Val Accuracy: 36.75%, Epoch Duration: 836.34 seconds
Epoch [36/100], Train Loss: 1.8284, Train Accuracy: 31.48%, Val Loss: 1.7688, Val Accuracy: 38.03%, Epoch Duration: 835.15 seconds
Epoch [37/100], Train Loss: 1.8214, Train Accuracy: 32.73%, Val Loss: 1.7267, Val Accuracy: 37.82%, Epoch Duration: 834.31 seconds
Epoch [38/100], Train Loss: 1.8157, Train Accuracy: 32.61%, Val Loss: 1.7135, Val Accuracy: 38.03%, Epoch Duration: 840.38 seconds
Epoch [39/100], Train Loss: 1.8010, Train Accuracy: 33.05%, Val Loss: 1.7106, Val Accuracy: 39.53%, Epoch Duration: 834.88 seconds
Epoch [40/100], Train Loss: 1.7876, Train Accuracy: 33.07%, Val Loss: 1.7023, Val Accuracy: 39.10%, Epoch Duration: 837.00 seconds
Epoch [41/100], Train Loss: 1.7863, Train Accuracy: 33.35%, Val Loss: 1.6952, Val Accuracy: 39.10%, Epoch Duration: 838.75 seconds
Epoch [42/100], Train Loss: 1.7697, Train Accuracy: 33.83%, Val Loss: 1.6791, Val Accuracy: 39.74%, Epoch Duration: 832.10 seconds
Epoch [43/100], Train Loss: 1.7715, Train Accuracy: 33.77%, Val Loss: 1.6679, Val Accuracy: 39.32%, Epoch Duration: 839.68 seconds
Epoch [44/100], Train Loss: 1.7529, Train Accuracy: 34.56%, Val Loss: 1.6623, Val Accuracy: 40.17%, Epoch Duration: 838.08 seconds
Epoch [45/100], Train Loss: 1.7552, Train Accuracy: 34.17%, Val Loss: 1.6470, Val Accuracy: 39.74%, Epoch Duration: 839.19 seconds
Epoch [46/100], Train Loss: 1.7454, Train Accuracy: 34.41%, Val Loss: 1.6415, Val Accuracy: 41.45%, Epoch Duration: 836.05 seconds
Epoch [47/100], Train Loss: 1.7427, Train Accuracy: 35.17%, Val Loss: 1.6340, Val Accuracy: 40.60%, Epoch Duration: 839.50 seconds
Epoch [48/100], Train Loss: 1.7227, Train Accuracy: 35.36%, Val Loss: 1.6178, Val Accuracy: 43.16%, Epoch Duration: 837.38 seconds
Epoch [49/100], Train Loss: 1.7202, Train Accuracy: 34.98%, Val Loss: 1.6009, Val Accuracy: 41.88%, Epoch Duration: 844.14 seconds
Epoch [50/100], Train Loss: 1.7047, Train Accuracy: 36.12%, Val Loss: 1.5914, Val Accuracy: 43.38%, Epoch Duration: 836.80 seconds
Epoch [51/100], Train Loss: 1.6921, Train Accuracy: 36.82%, Val Loss: 1.5776, Val Accuracy: 43.59%, Epoch Duration: 839.24 seconds
Epoch [52/100], Train Loss: 1.6844, Train Accuracy: 36.40%, Val Loss: 1.5695, Val Accuracy: 44.02%, Epoch Duration: 835.44 seconds
Epoch [53/100], Train Loss: 1.6810, Train Accuracy: 36.14%, Val Loss: 1.5594, Val Accuracy: 45.30%, Epoch Duration: 839.28 seconds
Epoch [54/100], Train Loss: 1.6637, Train Accuracy: 37.25%, Val Loss: 1.5638, Val Accuracy: 44.66%, Epoch Duration: 835.33 seconds
Epoch [55/100], Train Loss: 1.6617, Train Accuracy: 37.61%, Val Loss: 1.5236, Val Accuracy: 43.80%, Epoch Duration: 842.64 seconds
Epoch [56/100], Train Loss: 1.6428, Train Accuracy: 37.67%, Val Loss: 1.5034, Val Accuracy: 44.87%, Epoch Duration: 835.97 seconds
Epoch [57/100], Train Loss: 1.6450, Train Accuracy: 37.65%, Val Loss: 1.4940, Val Accuracy: 45.30%, Epoch Duration: 844.12 seconds
Epoch [58/100], Train Loss: 1.6287, Train Accuracy: 38.26%, Val Loss: 1.4768, Val Accuracy: 45.73%, Epoch Duration: 842.33 seconds
Epoch [59/100], Train Loss: 1.6194, Train Accuracy: 38.96%, Val Loss: 1.4591, Val Accuracy: 44.44%, Epoch Duration: 840.25 seconds
Epoch [60/100], Train Loss: 1.6055, Train Accuracy: 39.53%, Val Loss: 1.4413, Val Accuracy: 46.37%, Epoch Duration: 837.88 seconds
