STARTING TO TRAIN [pddd=False,frozen=False,pretrained=True]
 Epoch [1/100], Train Loss: 2.0779, Train Accuracy: 13.43%, Val Loss: 2.0718, Val Accuracy: 15.17%, Epoch Duration: 898.72 seconds
Epoch [2/100], Train Loss: 2.0713, Train Accuracy: 15.81%, Val Loss: 2.0661, Val Accuracy: 16.88%, Epoch Duration: 828.50 seconds
Epoch [3/100], Train Loss: 2.0668, Train Accuracy: 16.53%, Val Loss: 2.0604, Val Accuracy: 18.16%, Epoch Duration: 828.66 seconds
Epoch [4/100], Train Loss: 2.0618, Train Accuracy: 17.86%, Val Loss: 2.0544, Val Accuracy: 18.59%, Epoch Duration: 832.61 seconds
Epoch [5/100], Train Loss: 2.0562, Train Accuracy: 18.79%, Val Loss: 2.0489, Val Accuracy: 19.87%, Epoch Duration: 829.68 seconds
Epoch [6/100], Train Loss: 2.0508, Train Accuracy: 19.07%, Val Loss: 2.0436, Val Accuracy: 22.01%, Epoch Duration: 829.24 seconds
Epoch [7/100], Train Loss: 2.0467, Train Accuracy: 19.34%, Val Loss: 2.0377, Val Accuracy: 22.44%, Epoch Duration: 828.54 seconds
Epoch [8/100], Train Loss: 2.0402, Train Accuracy: 19.96%, Val Loss: 2.0331, Val Accuracy: 23.72%, Epoch Duration: 832.29 seconds
Epoch [9/100], Train Loss: 2.0340, Train Accuracy: 21.21%, Val Loss: 2.0251, Val Accuracy: 24.79%, Epoch Duration: 825.44 seconds
Epoch [10/100], Train Loss: 2.0279, Train Accuracy: 21.65%, Val Loss: 2.0207, Val Accuracy: 24.57%, Epoch Duration: 830.42 seconds
Epoch [11/100], Train Loss: 2.0224, Train Accuracy: 22.33%, Val Loss: 2.0124, Val Accuracy: 25.21%, Epoch Duration: 827.47 seconds
Epoch [12/100], Train Loss: 2.0165, Train Accuracy: 23.14%, Val Loss: 2.0057, Val Accuracy: 23.93%, Epoch Duration: 828.12 seconds
Epoch [13/100], Train Loss: 2.0087, Train Accuracy: 23.03%, Val Loss: 1.9963, Val Accuracy: 23.29%, Epoch Duration: 826.31 seconds
Epoch [14/100], Train Loss: 2.0027, Train Accuracy: 23.56%, Val Loss: 1.9901, Val Accuracy: 23.72%, Epoch Duration: 828.80 seconds
Epoch [15/100], Train Loss: 1.9955, Train Accuracy: 23.24%, Val Loss: 1.9773, Val Accuracy: 22.86%, Epoch Duration: 826.81 seconds
