STARTING TO TRAIN [pddd=True,frozen=False,pretrained=False]
 Epoch [1/100], Train Loss: 2.0773, Train Accuracy: 14.92%, Val Loss: 2.0734, Val Accuracy: 16.03%, Epoch Duration: 821.04 seconds
Epoch [2/100], Train Loss: 2.0716, Train Accuracy: 16.02%, Val Loss: 2.0622, Val Accuracy: 16.67%, Epoch Duration: 823.95 seconds
Epoch [3/100], Train Loss: 2.0655, Train Accuracy: 16.59%, Val Loss: 2.0500, Val Accuracy: 17.31%, Epoch Duration: 823.09 seconds
Epoch [4/100], Train Loss: 2.0584, Train Accuracy: 17.16%, Val Loss: 2.0628, Val Accuracy: 17.31%, Epoch Duration: 828.87 seconds
Epoch [5/100], Train Loss: 2.0544, Train Accuracy: 17.16%, Val Loss: 2.0491, Val Accuracy: 18.59%, Epoch Duration: 828.39 seconds
Epoch [6/100], Train Loss: 2.0446, Train Accuracy: 18.41%, Val Loss: 2.0570, Val Accuracy: 19.23%, Epoch Duration: 830.79 seconds
Epoch [7/100], Train Loss: 2.0394, Train Accuracy: 18.47%, Val Loss: 2.0410, Val Accuracy: 18.59%, Epoch Duration: 823.43 seconds
Epoch [8/100], Train Loss: 2.0296, Train Accuracy: 19.56%, Val Loss: 2.0491, Val Accuracy: 18.16%, Epoch Duration: 828.83 seconds
Epoch [9/100], Train Loss: 2.0254, Train Accuracy: 20.74%, Val Loss: 2.0433, Val Accuracy: 17.95%, Epoch Duration: 822.01 seconds
Epoch [10/100], Train Loss: 2.0189, Train Accuracy: 20.11%, Val Loss: 2.0401, Val Accuracy: 19.23%, Epoch Duration: 828.45 seconds
Epoch [11/100], Train Loss: 2.0113, Train Accuracy: 20.28%, Val Loss: 2.0394, Val Accuracy: 19.44%, Epoch Duration: 826.19 seconds
Epoch [12/100], Train Loss: 2.0069, Train Accuracy: 21.36%, Val Loss: 2.0373, Val Accuracy: 20.73%, Epoch Duration: 818.81 seconds
Epoch [13/100], Train Loss: 2.0077, Train Accuracy: 21.44%, Val Loss: 2.0340, Val Accuracy: 21.37%, Epoch Duration: 822.41 seconds
Epoch [14/100], Train Loss: 2.0004, Train Accuracy: 22.08%, Val Loss: 2.0257, Val Accuracy: 22.86%, Epoch Duration: 826.04 seconds
Epoch [15/100], Train Loss: 1.9919, Train Accuracy: 22.94%, Val Loss: 2.0156, Val Accuracy: 23.29%, Epoch Duration: 826.70 seconds
Epoch [16/100], Train Loss: 1.9905, Train Accuracy: 23.26%, Val Loss: 2.0316, Val Accuracy: 25.00%, Epoch Duration: 827.01 seconds
Epoch [17/100], Train Loss: 1.9839, Train Accuracy: 23.45%, Val Loss: 2.0133, Val Accuracy: 26.07%, Epoch Duration: 827.75 seconds
Epoch [18/100], Train Loss: 1.9727, Train Accuracy: 24.36%, Val Loss: 1.9922, Val Accuracy: 26.92%, Epoch Duration: 823.60 seconds
Epoch [19/100], Train Loss: 1.9628, Train Accuracy: 24.79%, Val Loss: 1.9774, Val Accuracy: 26.92%, Epoch Duration: 823.37 seconds
Epoch [20/100], Train Loss: 1.9606, Train Accuracy: 24.58%, Val Loss: 1.9688, Val Accuracy: 27.56%, Epoch Duration: 823.56 seconds
Epoch [21/100], Train Loss: 1.9538, Train Accuracy: 24.75%, Val Loss: 1.9756, Val Accuracy: 29.49%, Epoch Duration: 825.08 seconds
Epoch [22/100], Train Loss: 1.9441, Train Accuracy: 26.40%, Val Loss: 1.9442, Val Accuracy: 28.85%, Epoch Duration: 825.82 seconds
Epoch [23/100], Train Loss: 1.9411, Train Accuracy: 26.50%, Val Loss: 1.9234, Val Accuracy: 31.20%, Epoch Duration: 824.34 seconds
Epoch [24/100], Train Loss: 1.9252, Train Accuracy: 27.06%, Val Loss: 1.9094, Val Accuracy: 30.98%, Epoch Duration: 821.59 seconds
Epoch [25/100], Train Loss: 1.9203, Train Accuracy: 26.76%, Val Loss: 1.8874, Val Accuracy: 30.77%, Epoch Duration: 825.10 seconds
Epoch [26/100], Train Loss: 1.9164, Train Accuracy: 27.39%, Val Loss: 1.8841, Val Accuracy: 30.77%, Epoch Duration: 827.21 seconds
Epoch [27/100], Train Loss: 1.9106, Train Accuracy: 27.90%, Val Loss: 1.8920, Val Accuracy: 31.62%, Epoch Duration: 826.53 seconds
Epoch [28/100], Train Loss: 1.9071, Train Accuracy: 27.78%, Val Loss: 1.8623, Val Accuracy: 32.05%, Epoch Duration: 825.74 seconds
Epoch [29/100], Train Loss: 1.9050, Train Accuracy: 27.80%, Val Loss: 1.8403, Val Accuracy: 31.20%, Epoch Duration: 827.77 seconds
Epoch [30/100], Train Loss: 1.8955, Train Accuracy: 29.26%, Val Loss: 1.8378, Val Accuracy: 32.05%, Epoch Duration: 823.62 seconds
Epoch [31/100], Train Loss: 1.8852, Train Accuracy: 29.22%, Val Loss: 1.8310, Val Accuracy: 32.48%, Epoch Duration: 826.01 seconds
Epoch [32/100], Train Loss: 1.8798, Train Accuracy: 29.30%, Val Loss: 1.8360, Val Accuracy: 33.12%, Epoch Duration: 828.11 seconds
Epoch [33/100], Train Loss: 1.8718, Train Accuracy: 30.00%, Val Loss: 1.8114, Val Accuracy: 34.19%, Epoch Duration: 817.27 seconds
Epoch [34/100], Train Loss: 1.8659, Train Accuracy: 29.62%, Val Loss: 1.8057, Val Accuracy: 33.33%, Epoch Duration: 827.09 seconds
Epoch [35/100], Train Loss: 1.8601, Train Accuracy: 30.78%, Val Loss: 1.7821, Val Accuracy: 35.26%, Epoch Duration: 822.64 seconds
Epoch [36/100], Train Loss: 1.8410, Train Accuracy: 29.94%, Val Loss: 1.7813, Val Accuracy: 36.11%, Epoch Duration: 823.19 seconds
Epoch [37/100], Train Loss: 1.8406, Train Accuracy: 31.91%, Val Loss: 1.7723, Val Accuracy: 36.32%, Epoch Duration: 823.48 seconds
Epoch [38/100], Train Loss: 1.8379, Train Accuracy: 31.21%, Val Loss: 1.7644, Val Accuracy: 36.54%, Epoch Duration: 822.39 seconds
Epoch [39/100], Train Loss: 1.8259, Train Accuracy: 31.76%, Val Loss: 1.7676, Val Accuracy: 38.89%, Epoch Duration: 821.09 seconds
Epoch [40/100], Train Loss: 1.8087, Train Accuracy: 31.84%, Val Loss: 1.7386, Val Accuracy: 37.18%, Epoch Duration: 822.34 seconds
Epoch [41/100], Train Loss: 1.8052, Train Accuracy: 32.58%, Val Loss: 1.7391, Val Accuracy: 37.82%, Epoch Duration: 822.17 seconds
