STARTING TO TRAIN [pddd=True,frozen=True,pretrained=False]
 Epoch [1/100], Train Loss: 2.0776, Train Accuracy: 14.81%, Val Loss: 2.0754, Val Accuracy: 15.81%, Epoch Duration: 819.18 seconds
Epoch [2/100], Train Loss: 2.0731, Train Accuracy: 15.68%, Val Loss: 2.0717, Val Accuracy: 16.03%, Epoch Duration: 810.92 seconds
Epoch [3/100], Train Loss: 2.0690, Train Accuracy: 16.17%, Val Loss: 2.0665, Val Accuracy: 15.81%, Epoch Duration: 811.89 seconds
Epoch [4/100], Train Loss: 2.0647, Train Accuracy: 16.08%, Val Loss: 2.0643, Val Accuracy: 16.03%, Epoch Duration: 813.34 seconds
Epoch [5/100], Train Loss: 2.0630, Train Accuracy: 16.19%, Val Loss: 2.0597, Val Accuracy: 16.24%, Epoch Duration: 814.27 seconds
Epoch [6/100], Train Loss: 2.0579, Train Accuracy: 16.61%, Val Loss: 2.0566, Val Accuracy: 16.24%, Epoch Duration: 812.44 seconds
Epoch [7/100], Train Loss: 2.0560, Train Accuracy: 16.42%, Val Loss: 2.0563, Val Accuracy: 16.24%, Epoch Duration: 809.31 seconds
Epoch [8/100], Train Loss: 2.0512, Train Accuracy: 17.25%, Val Loss: 2.0519, Val Accuracy: 16.45%, Epoch Duration: 814.12 seconds
Epoch [9/100], Train Loss: 2.0493, Train Accuracy: 17.12%, Val Loss: 2.0501, Val Accuracy: 16.24%, Epoch Duration: 805.67 seconds
Epoch [10/100], Train Loss: 2.0468, Train Accuracy: 16.74%, Val Loss: 2.0464, Val Accuracy: 16.67%, Epoch Duration: 810.93 seconds
Epoch [11/100], Train Loss: 2.0423, Train Accuracy: 17.61%, Val Loss: 2.0464, Val Accuracy: 16.24%, Epoch Duration: 808.58 seconds
Epoch [12/100], Train Loss: 2.0440, Train Accuracy: 17.84%, Val Loss: 2.0411, Val Accuracy: 16.88%, Epoch Duration: 809.68 seconds
Epoch [13/100], Train Loss: 2.0403, Train Accuracy: 17.18%, Val Loss: 2.0423, Val Accuracy: 16.45%, Epoch Duration: 807.10 seconds
Epoch [14/100], Train Loss: 2.0394, Train Accuracy: 16.29%, Val Loss: 2.0401, Val Accuracy: 16.88%, Epoch Duration: 812.39 seconds
Epoch [15/100], Train Loss: 2.0356, Train Accuracy: 17.52%, Val Loss: 2.0368, Val Accuracy: 16.88%, Epoch Duration: 814.61 seconds
Epoch [16/100], Train Loss: 2.0370, Train Accuracy: 16.95%, Val Loss: 2.0382, Val Accuracy: 16.88%, Epoch Duration: 810.24 seconds
Epoch [17/100], Train Loss: 2.0340, Train Accuracy: 17.39%, Val Loss: 2.0358, Val Accuracy: 16.67%, Epoch Duration: 814.70 seconds
Epoch [18/100], Train Loss: 2.0312, Train Accuracy: 17.97%, Val Loss: 2.0330, Val Accuracy: 16.88%, Epoch Duration: 808.76 seconds
Epoch [19/100], Train Loss: 2.0287, Train Accuracy: 17.80%, Val Loss: 2.0318, Val Accuracy: 17.52%, Epoch Duration: 811.68 seconds
Epoch [20/100], Train Loss: 2.0293, Train Accuracy: 16.84%, Val Loss: 2.0284, Val Accuracy: 15.60%, Epoch Duration: 809.78 seconds
Epoch [21/100], Train Loss: 2.0326, Train Accuracy: 16.63%, Val Loss: 2.0273, Val Accuracy: 16.03%, Epoch Duration: 811.03 seconds
Epoch [22/100], Train Loss: 2.0238, Train Accuracy: 18.69%, Val Loss: 2.0285, Val Accuracy: 15.81%, Epoch Duration: 810.72 seconds
Epoch [23/100], Train Loss: 2.0267, Train Accuracy: 17.08%, Val Loss: 2.0295, Val Accuracy: 16.03%, Epoch Duration: 813.31 seconds
Epoch [24/100], Train Loss: 2.0245, Train Accuracy: 18.07%, Val Loss: 2.0263, Val Accuracy: 17.74%, Epoch Duration: 815.72 seconds
Epoch [25/100], Train Loss: 2.0229, Train Accuracy: 17.54%, Val Loss: 2.0233, Val Accuracy: 16.45%, Epoch Duration: 814.30 seconds
Epoch [26/100], Train Loss: 2.0227, Train Accuracy: 17.10%, Val Loss: 2.0256, Val Accuracy: 15.81%, Epoch Duration: 811.70 seconds
Epoch [27/100], Train Loss: 2.0241, Train Accuracy: 17.18%, Val Loss: 2.0233, Val Accuracy: 17.09%, Epoch Duration: 814.68 seconds
Epoch [28/100], Train Loss: 2.0236, Train Accuracy: 16.69%, Val Loss: 2.0213, Val Accuracy: 17.09%, Epoch Duration: 813.68 seconds
Epoch [29/100], Train Loss: 2.0205, Train Accuracy: 17.71%, Val Loss: 2.0187, Val Accuracy: 19.23%, Epoch Duration: 810.48 seconds
Epoch [30/100], Train Loss: 2.0179, Train Accuracy: 17.12%, Val Loss: 2.0193, Val Accuracy: 18.38%, Epoch Duration: 816.19 seconds
Epoch [31/100], Train Loss: 2.0209, Train Accuracy: 17.78%, Val Loss: 2.0175, Val Accuracy: 18.59%, Epoch Duration: 815.46 seconds
Epoch [32/100], Train Loss: 2.0238, Train Accuracy: 17.56%, Val Loss: 2.0181, Val Accuracy: 20.51%, Epoch Duration: 812.89 seconds
Epoch [33/100], Train Loss: 2.0200, Train Accuracy: 18.18%, Val Loss: 2.0196, Val Accuracy: 20.09%, Epoch Duration: 809.67 seconds
Epoch [34/100], Train Loss: 2.0173, Train Accuracy: 17.58%, Val Loss: 2.0179, Val Accuracy: 19.44%, Epoch Duration: 817.49 seconds
Epoch [35/100], Train Loss: 2.0183, Train Accuracy: 17.92%, Val Loss: 2.0167, Val Accuracy: 20.73%, Epoch Duration: 809.65 seconds
Epoch [36/100], Train Loss: 2.0148, Train Accuracy: 17.35%, Val Loss: 2.0202, Val Accuracy: 18.59%, Epoch Duration: 810.67 seconds
Epoch [37/100], Train Loss: 2.0190, Train Accuracy: 16.93%, Val Loss: 2.0152, Val Accuracy: 17.95%, Epoch Duration: 813.80 seconds
Epoch [38/100], Train Loss: 2.0160, Train Accuracy: 16.80%, Val Loss: 2.0168, Val Accuracy: 17.31%, Epoch Duration: 812.36 seconds
Epoch [39/100], Train Loss: 2.0167, Train Accuracy: 17.65%, Val Loss: 2.0124, Val Accuracy: 17.74%, Epoch Duration: 812.04 seconds
Epoch [40/100], Train Loss: 2.0164, Train Accuracy: 17.56%, Val Loss: 2.0183, Val Accuracy: 17.31%, Epoch Duration: 808.78 seconds
Epoch [41/100], Train Loss: 2.0150, Train Accuracy: 17.65%, Val Loss: 2.0174, Val Accuracy: 17.52%, Epoch Duration: 815.79 seconds
Epoch [42/100], Train Loss: 2.0143, Train Accuracy: 16.19%, Val Loss: 2.0135, Val Accuracy: 17.95%, Epoch Duration: 809.64 seconds
Epoch [43/100], Train Loss: 2.0166, Train Accuracy: 16.89%, Val Loss: 2.0138, Val Accuracy: 17.52%, Epoch Duration: 816.06 seconds
Epoch [44/100], Train Loss: 2.0155, Train Accuracy: 17.44%, Val Loss: 2.0118, Val Accuracy: 17.52%, Epoch Duration: 811.60 seconds
Epoch [45/100], Train Loss: 2.0100, Train Accuracy: 17.80%, Val Loss: 2.0097, Val Accuracy: 17.74%, Epoch Duration: 813.91 seconds
Epoch [46/100], Train Loss: 2.0146, Train Accuracy: 17.94%, Val Loss: 2.0124, Val Accuracy: 17.74%, Epoch Duration: 815.25 seconds
Epoch [47/100], Train Loss: 2.0135, Train Accuracy: 17.31%, Val Loss: 2.0117, Val Accuracy: 17.74%, Epoch Duration: 817.78 seconds
Epoch [48/100], Train Loss: 2.0136, Train Accuracy: 17.82%, Val Loss: 2.0104, Val Accuracy: 17.74%, Epoch Duration: 811.35 seconds
Epoch [49/100], Train Loss: 2.0126, Train Accuracy: 17.20%, Val Loss: 2.0089, Val Accuracy: 17.74%, Epoch Duration: 817.85 seconds
Epoch [50/100], Train Loss: 2.0136, Train Accuracy: 17.86%, Val Loss: 2.0075, Val Accuracy: 17.74%, Epoch Duration: 809.87 seconds
Epoch [51/100], Train Loss: 2.0121, Train Accuracy: 17.88%, Val Loss: 2.0100, Val Accuracy: 17.74%, Epoch Duration: 812.55 seconds
Epoch [52/100], Train Loss: 2.0126, Train Accuracy: 16.97%, Val Loss: 2.0086, Val Accuracy: 17.74%, Epoch Duration: 814.45 seconds
