STARTING TO TRAIN [pddd=False,frozen=False,pretrained=False]
 Epoch [1/100], Train Loss: 2.0821, Train Accuracy: 12.42%, Val Loss: 2.0609, Val Accuracy: 16.88%, Epoch Duration: 843.84 seconds
Epoch [2/100], Train Loss: 2.0562, Train Accuracy: 16.44%, Val Loss: 2.0448, Val Accuracy: 18.38%, Epoch Duration: 842.26 seconds
Epoch [3/100], Train Loss: 2.0414, Train Accuracy: 16.91%, Val Loss: 2.0328, Val Accuracy: 15.81%, Epoch Duration: 842.99 seconds
Epoch [4/100], Train Loss: 2.0342, Train Accuracy: 16.31%, Val Loss: 2.0242, Val Accuracy: 18.38%, Epoch Duration: 846.50 seconds
Epoch [5/100], Train Loss: 2.0262, Train Accuracy: 16.38%, Val Loss: 2.0185, Val Accuracy: 19.23%, Epoch Duration: 842.72 seconds
Epoch [6/100], Train Loss: 2.0258, Train Accuracy: 16.63%, Val Loss: 2.0137, Val Accuracy: 15.38%, Epoch Duration: 844.51 seconds
Epoch [7/100], Train Loss: 2.0217, Train Accuracy: 16.61%, Val Loss: 2.0091, Val Accuracy: 14.32%, Epoch Duration: 842.06 seconds
Epoch [8/100], Train Loss: 2.0161, Train Accuracy: 17.03%, Val Loss: 2.0071, Val Accuracy: 14.74%, Epoch Duration: 840.89 seconds
Epoch [9/100], Train Loss: 2.0133, Train Accuracy: 16.95%, Val Loss: 2.0009, Val Accuracy: 15.38%, Epoch Duration: 836.80 seconds
Epoch [10/100], Train Loss: 2.0153, Train Accuracy: 17.12%, Val Loss: 2.0020, Val Accuracy: 14.53%, Epoch Duration: 841.08 seconds
Epoch [11/100], Train Loss: 2.0131, Train Accuracy: 17.03%, Val Loss: 1.9971, Val Accuracy: 15.60%, Epoch Duration: 839.16 seconds
Epoch [12/100], Train Loss: 2.0098, Train Accuracy: 17.46%, Val Loss: 1.9986, Val Accuracy: 14.74%, Epoch Duration: 838.64 seconds
Epoch [13/100], Train Loss: 2.0141, Train Accuracy: 16.55%, Val Loss: 1.9980, Val Accuracy: 17.95%, Epoch Duration: 834.97 seconds
Epoch [14/100], Train Loss: 2.0077, Train Accuracy: 17.12%, Val Loss: 1.9998, Val Accuracy: 17.31%, Epoch Duration: 837.88 seconds
Epoch [15/100], Train Loss: 2.0087, Train Accuracy: 16.69%, Val Loss: 1.9985, Val Accuracy: 17.52%, Epoch Duration: 837.41 seconds
Epoch [16/100], Train Loss: 2.0061, Train Accuracy: 17.46%, Val Loss: 1.9980, Val Accuracy: 17.09%, Epoch Duration: 835.62 seconds
Epoch [17/100], Train Loss: 2.0072, Train Accuracy: 16.72%, Val Loss: 1.9984, Val Accuracy: 15.38%, Epoch Duration: 842.99 seconds
Epoch [18/100], Train Loss: 2.0067, Train Accuracy: 17.25%, Val Loss: 2.0002, Val Accuracy: 15.38%, Epoch Duration: 840.04 seconds
Epoch [19/100], Train Loss: 2.0067, Train Accuracy: 17.42%, Val Loss: 1.9985, Val Accuracy: 17.09%, Epoch Duration: 834.06 seconds
Epoch [20/100], Train Loss: 2.0109, Train Accuracy: 17.29%, Val Loss: 1.9996, Val Accuracy: 17.09%, Epoch Duration: 835.69 seconds
Epoch [21/100], Train Loss: 2.0070, Train Accuracy: 17.90%, Val Loss: 2.0028, Val Accuracy: 17.52%, Epoch Duration: 840.66 seconds
Epoch [22/100], Train Loss: 2.0107, Train Accuracy: 17.20%, Val Loss: 2.0016, Val Accuracy: 17.52%, Epoch Duration: 836.86 seconds
Epoch [23/100], Train Loss: 2.0107, Train Accuracy: 17.78%, Val Loss: 2.0038, Val Accuracy: 16.67%, Epoch Duration: 836.55 seconds
Epoch [24/100], Train Loss: 2.0030, Train Accuracy: 17.54%, Val Loss: 1.9948, Val Accuracy: 19.02%, Epoch Duration: 836.42 seconds
Epoch [25/100], Train Loss: 2.0021, Train Accuracy: 18.28%, Val Loss: 1.9984, Val Accuracy: 19.02%, Epoch Duration: 841.01 seconds
Epoch [26/100], Train Loss: 2.0037, Train Accuracy: 17.33%, Val Loss: 1.9944, Val Accuracy: 18.59%, Epoch Duration: 836.77 seconds
Epoch [27/100], Train Loss: 2.0010, Train Accuracy: 18.09%, Val Loss: 1.9950, Val Accuracy: 20.51%, Epoch Duration: 837.93 seconds
Epoch [28/100], Train Loss: 2.0038, Train Accuracy: 17.99%, Val Loss: 1.9942, Val Accuracy: 19.66%, Epoch Duration: 841.07 seconds
Epoch [29/100], Train Loss: 1.9974, Train Accuracy: 18.43%, Val Loss: 1.9891, Val Accuracy: 18.59%, Epoch Duration: 837.46 seconds
Epoch [30/100], Train Loss: 2.0038, Train Accuracy: 17.78%, Val Loss: 1.9859, Val Accuracy: 19.66%, Epoch Duration: 834.97 seconds
Epoch [31/100], Train Loss: 2.0020, Train Accuracy: 17.22%, Val Loss: 1.9844, Val Accuracy: 18.38%, Epoch Duration: 836.55 seconds
Epoch [32/100], Train Loss: 2.0004, Train Accuracy: 17.14%, Val Loss: 1.9898, Val Accuracy: 19.23%, Epoch Duration: 839.49 seconds
Epoch [33/100], Train Loss: 1.9978, Train Accuracy: 18.28%, Val Loss: 1.9894, Val Accuracy: 20.94%, Epoch Duration: 833.57 seconds
Epoch [34/100], Train Loss: 1.9950, Train Accuracy: 17.22%, Val Loss: 1.9801, Val Accuracy: 21.15%, Epoch Duration: 840.41 seconds
Epoch [35/100], Train Loss: 1.9962, Train Accuracy: 17.80%, Val Loss: 1.9831, Val Accuracy: 19.66%, Epoch Duration: 835.97 seconds
Epoch [36/100], Train Loss: 1.9942, Train Accuracy: 18.11%, Val Loss: 1.9899, Val Accuracy: 20.09%, Epoch Duration: 838.46 seconds
Epoch [37/100], Train Loss: 1.9994, Train Accuracy: 17.92%, Val Loss: 1.9880, Val Accuracy: 19.66%, Epoch Duration: 834.75 seconds
Epoch [38/100], Train Loss: 1.9963, Train Accuracy: 18.73%, Val Loss: 1.9867, Val Accuracy: 19.02%, Epoch Duration: 838.35 seconds
Epoch [39/100], Train Loss: 1.9932, Train Accuracy: 17.58%, Val Loss: 1.9821, Val Accuracy: 20.09%, Epoch Duration: 837.53 seconds
Epoch [40/100], Train Loss: 1.9938, Train Accuracy: 17.56%, Val Loss: 1.9775, Val Accuracy: 23.50%, Epoch Duration: 838.25 seconds
Epoch [41/100], Train Loss: 1.9965, Train Accuracy: 17.84%, Val Loss: 1.9803, Val Accuracy: 19.87%, Epoch Duration: 836.19 seconds
Epoch [42/100], Train Loss: 1.9948, Train Accuracy: 17.54%, Val Loss: 1.9739, Val Accuracy: 19.66%, Epoch Duration: 832.65 seconds
Epoch [43/100], Train Loss: 1.9948, Train Accuracy: 17.58%, Val Loss: 1.9752, Val Accuracy: 21.79%, Epoch Duration: 838.55 seconds
Epoch [44/100], Train Loss: 1.9897, Train Accuracy: 18.73%, Val Loss: 1.9754, Val Accuracy: 22.01%, Epoch Duration: 837.39 seconds
Epoch [45/100], Train Loss: 1.9926, Train Accuracy: 17.61%, Val Loss: 1.9745, Val Accuracy: 22.65%, Epoch Duration: 839.65 seconds
Epoch [46/100], Train Loss: 1.9903, Train Accuracy: 18.92%, Val Loss: 1.9689, Val Accuracy: 21.15%, Epoch Duration: 837.72 seconds
Epoch [47/100], Train Loss: 1.9878, Train Accuracy: 18.45%, Val Loss: 1.9678, Val Accuracy: 21.58%, Epoch Duration: 840.61 seconds
Epoch [48/100], Train Loss: 1.9910, Train Accuracy: 18.58%, Val Loss: 1.9699, Val Accuracy: 19.87%, Epoch Duration: 837.53 seconds
Epoch [49/100], Train Loss: 1.9920, Train Accuracy: 17.54%, Val Loss: 1.9715, Val Accuracy: 20.94%, Epoch Duration: 845.58 seconds
Epoch [50/100], Train Loss: 1.9905, Train Accuracy: 18.26%, Val Loss: 1.9661, Val Accuracy: 19.44%, Epoch Duration: 836.57 seconds
Epoch [51/100], Train Loss: 1.9919, Train Accuracy: 18.56%, Val Loss: 1.9805, Val Accuracy: 20.30%, Epoch Duration: 837.10 seconds
Epoch [52/100], Train Loss: 1.9910, Train Accuracy: 18.14%, Val Loss: 1.9665, Val Accuracy: 19.44%, Epoch Duration: 836.07 seconds
Epoch [53/100], Train Loss: 1.9836, Train Accuracy: 18.71%, Val Loss: 1.9750, Val Accuracy: 19.44%, Epoch Duration: 836.20 seconds
Epoch [54/100], Train Loss: 1.9795, Train Accuracy: 19.56%, Val Loss: 1.9632, Val Accuracy: 20.51%, Epoch Duration: 835.70 seconds
Epoch [55/100], Train Loss: 1.9832, Train Accuracy: 18.83%, Val Loss: 1.9588, Val Accuracy: 19.44%, Epoch Duration: 838.22 seconds
Epoch [56/100], Train Loss: 1.9854, Train Accuracy: 18.45%, Val Loss: 1.9677, Val Accuracy: 19.23%, Epoch Duration: 837.38 seconds
Epoch [57/100], Train Loss: 1.9866, Train Accuracy: 18.83%, Val Loss: 1.9658, Val Accuracy: 21.79%, Epoch Duration: 843.21 seconds
Epoch [58/100], Train Loss: 1.9856, Train Accuracy: 18.58%, Val Loss: 1.9612, Val Accuracy: 22.44%, Epoch Duration: 846.40 seconds
Epoch [59/100], Train Loss: 1.9879, Train Accuracy: 17.94%, Val Loss: 1.9671, Val Accuracy: 22.22%, Epoch Duration: 837.17 seconds
