STARTING TO TRAIN [pddd=False,frozen=False,pretrained=True]
 Epoch [1/100], Train Loss: 2.0808, Train Accuracy: 10.23%, Val Loss: 2.0804, Val Accuracy: 10.47%, Epoch Duration: 966.50 seconds
Epoch [2/100], Train Loss: 2.0769, Train Accuracy: 11.08%, Val Loss: 2.0766, Val Accuracy: 10.47%, Epoch Duration: 831.09 seconds
Epoch [3/100], Train Loss: 2.0732, Train Accuracy: 12.44%, Val Loss: 2.0718, Val Accuracy: 10.47%, Epoch Duration: 828.87 seconds
Epoch [4/100], Train Loss: 2.0681, Train Accuracy: 13.77%, Val Loss: 2.0678, Val Accuracy: 12.39%, Epoch Duration: 834.19 seconds
Epoch [5/100], Train Loss: 2.0646, Train Accuracy: 15.81%, Val Loss: 2.0635, Val Accuracy: 14.32%, Epoch Duration: 832.39 seconds
Epoch [6/100], Train Loss: 2.0607, Train Accuracy: 17.52%, Val Loss: 2.0598, Val Accuracy: 19.23%, Epoch Duration: 834.38 seconds
Epoch [7/100], Train Loss: 2.0570, Train Accuracy: 19.85%, Val Loss: 2.0554, Val Accuracy: 21.37%, Epoch Duration: 829.54 seconds
Epoch [8/100], Train Loss: 2.0530, Train Accuracy: 21.76%, Val Loss: 2.0521, Val Accuracy: 23.08%, Epoch Duration: 830.79 seconds
Epoch [9/100], Train Loss: 2.0488, Train Accuracy: 22.92%, Val Loss: 2.0468, Val Accuracy: 25.21%, Epoch Duration: 824.68 seconds
Epoch [10/100], Train Loss: 2.0461, Train Accuracy: 24.03%, Val Loss: 2.0441, Val Accuracy: 26.92%, Epoch Duration: 831.48 seconds
Epoch [11/100], Train Loss: 2.0421, Train Accuracy: 24.36%, Val Loss: 2.0386, Val Accuracy: 28.85%, Epoch Duration: 829.90 seconds
Epoch [12/100], Train Loss: 2.0382, Train Accuracy: 25.21%, Val Loss: 2.0335, Val Accuracy: 33.12%, Epoch Duration: 829.89 seconds
Epoch [13/100], Train Loss: 2.0344, Train Accuracy: 25.83%, Val Loss: 2.0277, Val Accuracy: 36.97%, Epoch Duration: 826.96 seconds
Epoch [14/100], Train Loss: 2.0298, Train Accuracy: 26.82%, Val Loss: 2.0255, Val Accuracy: 37.61%, Epoch Duration: 829.00 seconds
Epoch [15/100], Train Loss: 2.0256, Train Accuracy: 28.88%, Val Loss: 2.0180, Val Accuracy: 39.10%, Epoch Duration: 827.61 seconds
Epoch [16/100], Train Loss: 2.0198, Train Accuracy: 29.11%, Val Loss: 2.0125, Val Accuracy: 40.38%, Epoch Duration: 827.91 seconds
Epoch [17/100], Train Loss: 2.0156, Train Accuracy: 30.40%, Val Loss: 2.0061, Val Accuracy: 42.95%, Epoch Duration: 834.52 seconds
Epoch [18/100], Train Loss: 2.0098, Train Accuracy: 31.40%, Val Loss: 1.9996, Val Accuracy: 43.59%, Epoch Duration: 827.33 seconds
Epoch [19/100], Train Loss: 2.0025, Train Accuracy: 31.29%, Val Loss: 1.9930, Val Accuracy: 43.80%, Epoch Duration: 827.11 seconds
Epoch [20/100], Train Loss: 1.9964, Train Accuracy: 31.86%, Val Loss: 1.9809, Val Accuracy: 42.52%, Epoch Duration: 826.97 seconds
Epoch [21/100], Train Loss: 1.9886, Train Accuracy: 32.61%, Val Loss: 1.9732, Val Accuracy: 41.67%, Epoch Duration: 829.77 seconds
Epoch [22/100], Train Loss: 1.9816, Train Accuracy: 33.16%, Val Loss: 1.9619, Val Accuracy: 43.38%, Epoch Duration: 830.71 seconds
Epoch [23/100], Train Loss: 1.9717, Train Accuracy: 32.10%, Val Loss: 1.9533, Val Accuracy: 41.67%, Epoch Duration: 826.58 seconds
Epoch [24/100], Train Loss: 1.9627, Train Accuracy: 33.16%, Val Loss: 1.9391, Val Accuracy: 41.45%, Epoch Duration: 828.02 seconds
Epoch [25/100], Train Loss: 1.9487, Train Accuracy: 34.11%, Val Loss: 1.9224, Val Accuracy: 43.16%, Epoch Duration: 829.75 seconds
Epoch [26/100], Train Loss: 1.9389, Train Accuracy: 34.43%, Val Loss: 1.9057, Val Accuracy: 43.80%, Epoch Duration: 831.58 seconds
Epoch [27/100], Train Loss: 1.9205, Train Accuracy: 35.55%, Val Loss: 1.8840, Val Accuracy: 41.24%, Epoch Duration: 829.69 seconds
Epoch [28/100], Train Loss: 1.9039, Train Accuracy: 35.78%, Val Loss: 1.8583, Val Accuracy: 44.23%, Epoch Duration: 831.86 seconds
Epoch [29/100], Train Loss: 1.8832, Train Accuracy: 37.44%, Val Loss: 1.8303, Val Accuracy: 44.87%, Epoch Duration: 851.61 seconds
Epoch [30/100], Train Loss: 1.8616, Train Accuracy: 38.03%, Val Loss: 1.8040, Val Accuracy: 47.01%, Epoch Duration: 855.02 seconds
Epoch [31/100], Train Loss: 1.8315, Train Accuracy: 39.17%, Val Loss: 1.7609, Val Accuracy: 47.86%, Epoch Duration: 856.37 seconds
Epoch [32/100], Train Loss: 1.8031, Train Accuracy: 40.02%, Val Loss: 1.7292, Val Accuracy: 48.93%, Epoch Duration: 858.75 seconds
Epoch [33/100], Train Loss: 1.7636, Train Accuracy: 42.97%, Val Loss: 1.6824, Val Accuracy: 50.85%, Epoch Duration: 866.18 seconds
Epoch [34/100], Train Loss: 1.7258, Train Accuracy: 43.77%, Val Loss: 1.6232, Val Accuracy: 51.50%, Epoch Duration: 872.20 seconds
Epoch [35/100], Train Loss: 1.6910, Train Accuracy: 44.96%, Val Loss: 1.5724, Val Accuracy: 52.14%, Epoch Duration: 867.55 seconds
Epoch [36/100], Train Loss: 1.6427, Train Accuracy: 46.74%, Val Loss: 1.5251, Val Accuracy: 53.63%, Epoch Duration: 838.87 seconds
Epoch [37/100], Train Loss: 1.5971, Train Accuracy: 47.58%, Val Loss: 1.4567, Val Accuracy: 54.27%, Epoch Duration: 843.23 seconds
Epoch [38/100], Train Loss: 1.5521, Train Accuracy: 49.09%, Val Loss: 1.4085, Val Accuracy: 55.56%, Epoch Duration: 844.55 seconds
Epoch [39/100], Train Loss: 1.4932, Train Accuracy: 51.50%, Val Loss: 1.3422, Val Accuracy: 56.20%, Epoch Duration: 844.33 seconds
Epoch [40/100], Train Loss: 1.4338, Train Accuracy: 52.78%, Val Loss: 1.2889, Val Accuracy: 57.26%, Epoch Duration: 846.17 seconds
Epoch [41/100], Train Loss: 1.3944, Train Accuracy: 53.83%, Val Loss: 1.2378, Val Accuracy: 61.32%, Epoch Duration: 835.71 seconds
Epoch [42/100], Train Loss: 1.3500, Train Accuracy: 55.55%, Val Loss: 1.1626, Val Accuracy: 64.53%, Epoch Duration: 824.93 seconds
Epoch [43/100], Train Loss: 1.3103, Train Accuracy: 57.33%, Val Loss: 1.1116, Val Accuracy: 66.45%, Epoch Duration: 843.38 seconds
Epoch [44/100], Train Loss: 1.2638, Train Accuracy: 60.32%, Val Loss: 1.0613, Val Accuracy: 70.73%, Epoch Duration: 867.14 seconds
Epoch [45/100], Train Loss: 1.2102, Train Accuracy: 62.94%, Val Loss: 1.0006, Val Accuracy: 73.93%, Epoch Duration: 871.39 seconds
Epoch [46/100], Train Loss: 1.1716, Train Accuracy: 64.87%, Val Loss: 0.9523, Val Accuracy: 76.71%, Epoch Duration: 866.85 seconds
Epoch [47/100], Train Loss: 1.1189, Train Accuracy: 67.50%, Val Loss: 0.8841, Val Accuracy: 77.78%, Epoch Duration: 869.23 seconds
Epoch [48/100], Train Loss: 1.0702, Train Accuracy: 67.33%, Val Loss: 0.8206, Val Accuracy: 78.85%, Epoch Duration: 863.36 seconds
Epoch [49/100], Train Loss: 1.0286, Train Accuracy: 68.73%, Val Loss: 0.7600, Val Accuracy: 78.42%, Epoch Duration: 870.27 seconds
Epoch [50/100], Train Loss: 0.9661, Train Accuracy: 71.33%, Val Loss: 0.6967, Val Accuracy: 80.34%, Epoch Duration: 865.25 seconds
Epoch [51/100], Train Loss: 0.9175, Train Accuracy: 71.82%, Val Loss: 0.6510, Val Accuracy: 79.91%, Epoch Duration: 867.27 seconds
Epoch [52/100], Train Loss: 0.8800, Train Accuracy: 72.69%, Val Loss: 0.6040, Val Accuracy: 80.34%, Epoch Duration: 865.48 seconds
Epoch [53/100], Train Loss: 0.8551, Train Accuracy: 72.56%, Val Loss: 0.5624, Val Accuracy: 81.20%, Epoch Duration: 864.98 seconds
Epoch [54/100], Train Loss: 0.8219, Train Accuracy: 73.60%, Val Loss: 0.5264, Val Accuracy: 82.26%, Epoch Duration: 865.40 seconds
Epoch [55/100], Train Loss: 0.7913, Train Accuracy: 74.28%, Val Loss: 0.4903, Val Accuracy: 82.69%, Epoch Duration: 870.90 seconds
Epoch [56/100], Train Loss: 0.7186, Train Accuracy: 76.82%, Val Loss: 0.4550, Val Accuracy: 85.26%, Epoch Duration: 869.20 seconds
Epoch [57/100], Train Loss: 0.7143, Train Accuracy: 76.53%, Val Loss: 0.4274, Val Accuracy: 86.97%, Epoch Duration: 872.32 seconds
Epoch [58/100], Train Loss: 0.7039, Train Accuracy: 77.35%, Val Loss: 0.4047, Val Accuracy: 87.61%, Epoch Duration: 874.64 seconds
Epoch [59/100], Train Loss: 0.6597, Train Accuracy: 79.05%, Val Loss: 0.3824, Val Accuracy: 88.25%, Epoch Duration: 869.29 seconds
Epoch [60/100], Train Loss: 0.6394, Train Accuracy: 78.75%, Val Loss: 0.3535, Val Accuracy: 89.96%, Epoch Duration: 870.09 seconds
Epoch [61/100], Train Loss: 0.6303, Train Accuracy: 79.51%, Val Loss: 0.3433, Val Accuracy: 90.60%, Epoch Duration: 867.90 seconds
Epoch [62/100], Train Loss: 0.6113, Train Accuracy: 80.42%, Val Loss: 0.3193, Val Accuracy: 91.67%, Epoch Duration: 876.84 seconds
Epoch [63/100], Train Loss: 0.5941, Train Accuracy: 80.32%, Val Loss: 0.2990, Val Accuracy: 91.24%, Epoch Duration: 867.60 seconds
Epoch [64/100], Train Loss: 0.5716, Train Accuracy: 81.89%, Val Loss: 0.2905, Val Accuracy: 92.09%, Epoch Duration: 865.21 seconds
Epoch [65/100], Train Loss: 0.5729, Train Accuracy: 81.97%, Val Loss: 0.2652, Val Accuracy: 92.52%, Epoch Duration: 873.99 seconds
Epoch [66/100], Train Loss: 0.5501, Train Accuracy: 82.86%, Val Loss: 0.2453, Val Accuracy: 93.38%, Epoch Duration: 871.02 seconds
Epoch [67/100], Train Loss: 0.5198, Train Accuracy: 84.19%, Val Loss: 0.2414, Val Accuracy: 94.44%, Epoch Duration: 870.89 seconds
Epoch [68/100], Train Loss: 0.5261, Train Accuracy: 83.71%, Val Loss: 0.2253, Val Accuracy: 94.23%, Epoch Duration: 869.30 seconds
Epoch [69/100], Train Loss: 0.5035, Train Accuracy: 84.62%, Val Loss: 0.2196, Val Accuracy: 94.02%, Epoch Duration: 869.48 seconds
Epoch [70/100], Train Loss: 0.4773, Train Accuracy: 85.21%, Val Loss: 0.2071, Val Accuracy: 95.51%, Epoch Duration: 869.75 seconds
Epoch [71/100], Train Loss: 0.4872, Train Accuracy: 84.92%, Val Loss: 0.1957, Val Accuracy: 95.51%, Epoch Duration: 865.75 seconds
Epoch [72/100], Train Loss: 0.4544, Train Accuracy: 86.08%, Val Loss: 0.1899, Val Accuracy: 95.09%, Epoch Duration: 865.86 seconds
Epoch [73/100], Train Loss: 0.4582, Train Accuracy: 85.23%, Val Loss: 0.1824, Val Accuracy: 95.30%, Epoch Duration: 870.35 seconds
Epoch [74/100], Train Loss: 0.4421, Train Accuracy: 85.97%, Val Loss: 0.1803, Val Accuracy: 94.87%, Epoch Duration: 878.40 seconds
Epoch [75/100], Train Loss: 0.4477, Train Accuracy: 86.25%, Val Loss: 0.1714, Val Accuracy: 95.30%, Epoch Duration: 845.51 seconds
Epoch [76/100], Train Loss: 0.4415, Train Accuracy: 86.42%, Val Loss: 0.1606, Val Accuracy: 95.09%, Epoch Duration: 832.67 seconds
Epoch [77/100], Train Loss: 0.4267, Train Accuracy: 86.29%, Val Loss: 0.1630, Val Accuracy: 95.30%, Epoch Duration: 832.06 seconds
Epoch [78/100], Train Loss: 0.4130, Train Accuracy: 87.29%, Val Loss: 0.1555, Val Accuracy: 96.15%, Epoch Duration: 832.55 seconds
Epoch [79/100], Train Loss: 0.4135, Train Accuracy: 87.25%, Val Loss: 0.1501, Val Accuracy: 95.73%, Epoch Duration: 836.29 seconds
Epoch [80/100], Train Loss: 0.4108, Train Accuracy: 86.84%, Val Loss: 0.1437, Val Accuracy: 95.73%, Epoch Duration: 832.14 seconds
Epoch [81/100], Train Loss: 0.3911, Train Accuracy: 87.84%, Val Loss: 0.1407, Val Accuracy: 96.37%, Epoch Duration: 834.58 seconds
