STARTING TO TRAIN [pddd=True,frozen=False,pretrained=False]
 Epoch [1/100], Train Loss: 2.0806, Train Accuracy: 10.32%, Val Loss: 2.0801, Val Accuracy: 10.47%, Epoch Duration: 817.01 seconds
Epoch [2/100], Train Loss: 2.0777, Train Accuracy: 11.08%, Val Loss: 2.0977, Val Accuracy: 10.26%, Epoch Duration: 824.36 seconds
Epoch [3/100], Train Loss: 2.0745, Train Accuracy: 11.67%, Val Loss: 2.0780, Val Accuracy: 10.47%, Epoch Duration: 819.43 seconds
Epoch [4/100], Train Loss: 2.0712, Train Accuracy: 13.37%, Val Loss: 2.0758, Val Accuracy: 9.19%, Epoch Duration: 825.52 seconds
Epoch [5/100], Train Loss: 2.0685, Train Accuracy: 15.23%, Val Loss: 2.0697, Val Accuracy: 16.88%, Epoch Duration: 825.42 seconds
Epoch [6/100], Train Loss: 2.0653, Train Accuracy: 17.12%, Val Loss: 2.0664, Val Accuracy: 16.67%, Epoch Duration: 826.18 seconds
Epoch [7/100], Train Loss: 2.0626, Train Accuracy: 17.80%, Val Loss: 2.0659, Val Accuracy: 18.16%, Epoch Duration: 826.68 seconds
Epoch [8/100], Train Loss: 2.0600, Train Accuracy: 17.84%, Val Loss: 2.0609, Val Accuracy: 17.74%, Epoch Duration: 822.84 seconds
Epoch [9/100], Train Loss: 2.0576, Train Accuracy: 19.00%, Val Loss: 2.0574, Val Accuracy: 17.31%, Epoch Duration: 817.52 seconds
Epoch [10/100], Train Loss: 2.0549, Train Accuracy: 18.56%, Val Loss: 2.0566, Val Accuracy: 17.74%, Epoch Duration: 823.25 seconds
Epoch [11/100], Train Loss: 2.0529, Train Accuracy: 18.88%, Val Loss: 2.0547, Val Accuracy: 20.30%, Epoch Duration: 824.65 seconds
Epoch [12/100], Train Loss: 2.0501, Train Accuracy: 20.00%, Val Loss: 2.0523, Val Accuracy: 18.16%, Epoch Duration: 821.00 seconds
Epoch [13/100], Train Loss: 2.0485, Train Accuracy: 19.03%, Val Loss: 2.0484, Val Accuracy: 19.02%, Epoch Duration: 825.22 seconds
Epoch [14/100], Train Loss: 2.0466, Train Accuracy: 19.19%, Val Loss: 2.0586, Val Accuracy: 23.50%, Epoch Duration: 823.53 seconds
Epoch [15/100], Train Loss: 2.0448, Train Accuracy: 18.83%, Val Loss: 2.0442, Val Accuracy: 19.87%, Epoch Duration: 825.96 seconds
Epoch [16/100], Train Loss: 2.0417, Train Accuracy: 20.49%, Val Loss: 2.0436, Val Accuracy: 20.94%, Epoch Duration: 826.23 seconds
Epoch [17/100], Train Loss: 2.0406, Train Accuracy: 20.15%, Val Loss: 2.0416, Val Accuracy: 18.80%, Epoch Duration: 830.35 seconds
Epoch [18/100], Train Loss: 2.0390, Train Accuracy: 20.19%, Val Loss: 2.0406, Val Accuracy: 17.95%, Epoch Duration: 823.84 seconds
Epoch [19/100], Train Loss: 2.0366, Train Accuracy: 19.83%, Val Loss: 2.0380, Val Accuracy: 22.86%, Epoch Duration: 826.59 seconds
Epoch [20/100], Train Loss: 2.0346, Train Accuracy: 20.32%, Val Loss: 2.0419, Val Accuracy: 23.72%, Epoch Duration: 823.04 seconds
Epoch [21/100], Train Loss: 2.0331, Train Accuracy: 21.93%, Val Loss: 2.0344, Val Accuracy: 22.65%, Epoch Duration: 825.48 seconds
Epoch [22/100], Train Loss: 2.0320, Train Accuracy: 21.06%, Val Loss: 2.0331, Val Accuracy: 23.08%, Epoch Duration: 824.25 seconds
Epoch [23/100], Train Loss: 2.0291, Train Accuracy: 22.10%, Val Loss: 2.0341, Val Accuracy: 26.71%, Epoch Duration: 822.84 seconds
Epoch [24/100], Train Loss: 2.0281, Train Accuracy: 20.97%, Val Loss: 2.0296, Val Accuracy: 22.86%, Epoch Duration: 824.91 seconds
Epoch [25/100], Train Loss: 2.0269, Train Accuracy: 22.03%, Val Loss: 2.0285, Val Accuracy: 22.01%, Epoch Duration: 831.51 seconds
