STARTING TO TRAIN [pddd=True,frozen=True,pretrained=False]
 Epoch [1/100], Train Loss: 2.0806, Train Accuracy: 10.32%, Val Loss: 2.0801, Val Accuracy: 10.47%, Epoch Duration: 984.86 seconds
Epoch [2/100], Train Loss: 2.0777, Train Accuracy: 11.08%, Val Loss: 2.0977, Val Accuracy: 10.26%, Epoch Duration: 981.73 seconds
Epoch [3/100], Train Loss: 2.0745, Train Accuracy: 11.67%, Val Loss: 2.0780, Val Accuracy: 10.47%, Epoch Duration: 982.70 seconds
Epoch [4/100], Train Loss: 2.0713, Train Accuracy: 13.39%, Val Loss: 2.0758, Val Accuracy: 9.40%, Epoch Duration: 978.45 seconds
Epoch [5/100], Train Loss: 2.0685, Train Accuracy: 15.21%, Val Loss: 2.0697, Val Accuracy: 16.88%, Epoch Duration: 968.62 seconds
Epoch [6/100], Train Loss: 2.0653, Train Accuracy: 17.12%, Val Loss: 2.0664, Val Accuracy: 16.67%, Epoch Duration: 972.51 seconds
Epoch [7/100], Train Loss: 2.0626, Train Accuracy: 17.80%, Val Loss: 2.0659, Val Accuracy: 18.16%, Epoch Duration: 970.33 seconds
Epoch [8/100], Train Loss: 2.0600, Train Accuracy: 17.84%, Val Loss: 2.0609, Val Accuracy: 17.74%, Epoch Duration: 972.79 seconds
Epoch [9/100], Train Loss: 2.0576, Train Accuracy: 19.00%, Val Loss: 2.0574, Val Accuracy: 17.31%, Epoch Duration: 959.55 seconds
Epoch [10/100], Train Loss: 2.0549, Train Accuracy: 18.56%, Val Loss: 2.0566, Val Accuracy: 17.74%, Epoch Duration: 975.18 seconds
Epoch [11/100], Train Loss: 2.0529, Train Accuracy: 18.88%, Val Loss: 2.0547, Val Accuracy: 20.30%, Epoch Duration: 973.24 seconds
Epoch [12/100], Train Loss: 2.0502, Train Accuracy: 20.00%, Val Loss: 2.0523, Val Accuracy: 18.16%, Epoch Duration: 962.89 seconds
Epoch [13/100], Train Loss: 2.0485, Train Accuracy: 19.00%, Val Loss: 2.0484, Val Accuracy: 19.02%, Epoch Duration: 959.67 seconds
Epoch [14/100], Train Loss: 2.0466, Train Accuracy: 19.17%, Val Loss: 2.0587, Val Accuracy: 23.50%, Epoch Duration: 979.88 seconds
Epoch [15/100], Train Loss: 2.0448, Train Accuracy: 18.81%, Val Loss: 2.0442, Val Accuracy: 19.87%, Epoch Duration: 978.54 seconds
Epoch [16/100], Train Loss: 2.0417, Train Accuracy: 20.51%, Val Loss: 2.0436, Val Accuracy: 20.94%, Epoch Duration: 971.21 seconds
Epoch [17/100], Train Loss: 2.0406, Train Accuracy: 20.17%, Val Loss: 2.0416, Val Accuracy: 18.80%, Epoch Duration: 984.58 seconds
Epoch [18/100], Train Loss: 2.0390, Train Accuracy: 20.17%, Val Loss: 2.0406, Val Accuracy: 17.95%, Epoch Duration: 975.27 seconds
Epoch [19/100], Train Loss: 2.0366, Train Accuracy: 19.85%, Val Loss: 2.0380, Val Accuracy: 22.44%, Epoch Duration: 969.58 seconds
Epoch [20/100], Train Loss: 2.0347, Train Accuracy: 20.30%, Val Loss: 2.0419, Val Accuracy: 23.72%, Epoch Duration: 971.38 seconds
Epoch [21/100], Train Loss: 2.0331, Train Accuracy: 21.95%, Val Loss: 2.0344, Val Accuracy: 22.65%, Epoch Duration: 975.11 seconds
Epoch [22/100], Train Loss: 2.0320, Train Accuracy: 21.04%, Val Loss: 2.0331, Val Accuracy: 23.08%, Epoch Duration: 968.28 seconds
Epoch [23/100], Train Loss: 2.0292, Train Accuracy: 22.08%, Val Loss: 2.0341, Val Accuracy: 26.50%, Epoch Duration: 967.61 seconds
Epoch [24/100], Train Loss: 2.0281, Train Accuracy: 20.91%, Val Loss: 2.0296, Val Accuracy: 22.86%, Epoch Duration: 966.04 seconds
Epoch [25/100], Train Loss: 2.0270, Train Accuracy: 22.03%, Val Loss: 2.0286, Val Accuracy: 22.01%, Epoch Duration: 967.09 seconds
Epoch [26/100], Train Loss: 2.0249, Train Accuracy: 21.84%, Val Loss: 2.0309, Val Accuracy: 25.21%, Epoch Duration: 979.42 seconds
Epoch [27/100], Train Loss: 2.0232, Train Accuracy: 22.08%, Val Loss: 2.0257, Val Accuracy: 24.15%, Epoch Duration: 978.07 seconds
Epoch [28/100], Train Loss: 2.0233, Train Accuracy: 21.72%, Val Loss: 2.0231, Val Accuracy: 23.72%, Epoch Duration: 962.64 seconds
Epoch [29/100], Train Loss: 2.0205, Train Accuracy: 22.33%, Val Loss: 2.0209, Val Accuracy: 26.50%, Epoch Duration: 980.59 seconds
Epoch [30/100], Train Loss: 2.0186, Train Accuracy: 23.16%, Val Loss: 2.0199, Val Accuracy: 35.26%, Epoch Duration: 978.75 seconds
Epoch [31/100], Train Loss: 2.0178, Train Accuracy: 23.14%, Val Loss: 2.0190, Val Accuracy: 29.91%, Epoch Duration: 968.79 seconds
Epoch [32/100], Train Loss: 2.0171, Train Accuracy: 23.60%, Val Loss: 2.0186, Val Accuracy: 37.61%, Epoch Duration: 973.85 seconds
Epoch [33/100], Train Loss: 2.0156, Train Accuracy: 22.67%, Val Loss: 2.0179, Val Accuracy: 30.77%, Epoch Duration: 960.64 seconds
Epoch [34/100], Train Loss: 2.0143, Train Accuracy: 22.82%, Val Loss: 2.0146, Val Accuracy: 38.68%, Epoch Duration: 973.75 seconds
Epoch [35/100], Train Loss: 2.0142, Train Accuracy: 23.28%, Val Loss: 2.0127, Val Accuracy: 39.53%, Epoch Duration: 977.28 seconds
Epoch [36/100], Train Loss: 2.0121, Train Accuracy: 22.50%, Val Loss: 2.0161, Val Accuracy: 30.34%, Epoch Duration: 973.61 seconds
Epoch [37/100], Train Loss: 2.0120, Train Accuracy: 23.79%, Val Loss: 2.0119, Val Accuracy: 43.16%, Epoch Duration: 975.38 seconds
Epoch [38/100], Train Loss: 2.0094, Train Accuracy: 24.60%, Val Loss: 2.0082, Val Accuracy: 40.81%, Epoch Duration: 962.61 seconds
Epoch [39/100], Train Loss: 2.0065, Train Accuracy: 25.11%, Val Loss: 2.0121, Val Accuracy: 40.38%, Epoch Duration: 965.50 seconds
Epoch [40/100], Train Loss: 2.0058, Train Accuracy: 24.24%, Val Loss: 2.0078, Val Accuracy: 40.60%, Epoch Duration: 965.92 seconds
Epoch [41/100], Train Loss: 2.0045, Train Accuracy: 24.85%, Val Loss: 2.0079, Val Accuracy: 40.38%, Epoch Duration: 963.95 seconds
Epoch [42/100], Train Loss: 2.0030, Train Accuracy: 24.72%, Val Loss: 2.0035, Val Accuracy: 40.60%, Epoch Duration: 970.06 seconds
Epoch [43/100], Train Loss: 2.0022, Train Accuracy: 25.85%, Val Loss: 2.0022, Val Accuracy: 41.67%, Epoch Duration: 970.20 seconds
Epoch [44/100], Train Loss: 2.0021, Train Accuracy: 25.04%, Val Loss: 1.9992, Val Accuracy: 41.24%, Epoch Duration: 965.49 seconds
Epoch [45/100], Train Loss: 2.0007, Train Accuracy: 25.59%, Val Loss: 1.9969, Val Accuracy: 42.52%, Epoch Duration: 965.06 seconds
Epoch [46/100], Train Loss: 1.9998, Train Accuracy: 26.10%, Val Loss: 2.0029, Val Accuracy: 36.75%, Epoch Duration: 980.82 seconds
Epoch [47/100], Train Loss: 1.9978, Train Accuracy: 25.38%, Val Loss: 1.9988, Val Accuracy: 41.45%, Epoch Duration: 968.29 seconds
Epoch [48/100], Train Loss: 1.9953, Train Accuracy: 26.48%, Val Loss: 1.9934, Val Accuracy: 42.74%, Epoch Duration: 978.84 seconds
Epoch [49/100], Train Loss: 1.9965, Train Accuracy: 25.85%, Val Loss: 1.9992, Val Accuracy: 39.53%, Epoch Duration: 965.20 seconds
Epoch [50/100], Train Loss: 1.9944, Train Accuracy: 26.82%, Val Loss: 1.9918, Val Accuracy: 42.74%, Epoch Duration: 972.06 seconds
